id,name,category,brand,tags
item_29,Baby Onion (Sirka Pyaz) (250 g),Fresh Produce 🍅,Fresh Produce,baby onion (sirka pyaz) vegetables fresh
item_30,Ivy Gourd (Kundru) (250 g),Fresh Produce 🍅,Fresh Produce,ivy gourd (kundru) vegetables fresh
item_31,Tomato Soup - Combo (500 g + 500 g + 500 g -600 g),Fresh Produce 🍅,Fresh Produce,tomato soup - combo vegetables fresh
item_32,Drumstick (Sahjan) (250 g),Fresh Produce 🍅,Fresh Produce,drumstick (sahjan) vegetables fresh
item_33,Mushroom Soup - Combo (180 g - 200 g + 1 kg + 200 g),Fresh Produce 🍅,Fresh Produce,mushroom soup - combo vegetables fresh
item_34,Lotus Stem (Kamal Kakdi) (250 g),Fresh Produce 🍅,Fresh Produce,lotus stem (kamal kakdi) vegetables fresh
item_35,Detox Juice Combo (500 g + 200 g + 250 g - 300 g + 100 g),Fresh Produce 🍅,Fresh Produce,detox juice combo vegetables fresh
item_36,Ginger - Organically grown (Adrak) (100 g),Fresh Produce 🍅,Fresh Produce,ginger - organically grown (adrak) vegetables fresh
item_37,Broccoli (300 g - 400 g),Fresh Produce 🍅,Fresh Produce,broccoli vegetables fresh
item_38,Coriander Bunch (Dhaniya Patta) (100 g),Fresh Produce 🍅,Fresh Produce,coriander bunch (dhaniya patta) vegetables fresh
item_39,Green Leafy Lettuce - Hydroponically Grown (120 g - 150 g),Fresh Produce 🍅,Fresh Produce,green leafy lettuce - hydroponically grown vegetables fresh
item_40,Baby Spinach - Hydroponically Grown (100 g),Fresh Produce 🍅,Fresh Produce,baby spinach - hydroponically grown vegetables fresh
item_41,Coriander (Without Roots) (Dhaniya) (100 g),Fresh Produce 🍅,Fresh Produce,coriander (without roots) (dhaniya) vegetables fresh
item_42,Garlic - Organically grown (Lehsun) (100 g),Fresh Produce 🍅,Fresh Produce,garlic - organically grown (lehsun) vegetables fresh
item_43,"Sarso Saag Veggie Mix (Chopped Sarso, Methi & Palak) (500 g)",Fresh Produce 🍅,Fresh Produce,"sarso saag veggie mix (chopped sarso, methi & palak) vegetables fresh"
item_44,Organic Onion (Pyaz) (500 g),Fresh Produce 🍅,Fresh Produce,organic onion (pyaz) vegetables fresh
item_45,Chilli - Organically grown (Mirch) (100 g),Fresh Produce 🍅,Fresh Produce,chilli - organically grown (mirch) vegetables fresh
item_46,Cherry Tomatoes - Hydroponically Grown (1 unit (150 g - 200 g)),Fresh Produce 🍅,Fresh Produce,cherry tomatoes - hydroponically grown vegetables fresh
item_47,Green Peas - Organically grown (250 g),Fresh Produce 🍅,Fresh Produce,green peas - organically grown vegetables fresh
item_48,Tomato - Organically grown (Tamatar) (500 g),Fresh Produce 🍅,Fresh Produce,tomato - organically grown (tamatar) vegetables fresh
item_49,Beetroot - Organically grown (Chukandar) (250 g),Fresh Produce 🍅,Fresh Produce,beetroot - organically grown (chukandar) vegetables fresh
item_50,Broccoli Florets 200g (200 g),Fresh Produce 🍅,Fresh Produce,broccoli florets 200g vegetables fresh
item_51,Mixed Sprouts (200 g),Fresh Produce 🍅,Fresh Produce,mixed sprouts vegetables fresh
item_52,Spinach (Without Roots) (Palak),Fresh Produce 🍅,Fresh Produce,spinach (without roots) (palak) vegetables fresh
item_53,Lemon - Organically grown (Nimbu) (250 g),Fresh Produce 🍅,Fresh Produce,lemon - organically grown (nimbu) vegetables fresh
